OBJECTID *,Shape *,ARCID,UP_CELLS,Shape_Length,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
913,Polyline,654357,232,8006.380052,8006.380052,175510.4763,3361245.898,172944.8638,3359131.714,169586.2582,3357723.527
914,Polyline,654418,1235,3547.944859,3547.944859,-119250.9778,3373100.343,-119351.8409,3371329.24,-120239.3651,3369903.999
915,Polyline,654419,750,24441.44456,24441.44456,-40435.2134,3374929.581,-50501.17749,3370786.608,-60350.6799,3367120.915
916,Polyline,654420,27693,1537.681076,1537.681076,106654.189,3360737.724,106626.4636,3359969.384,107005.2925,3359336.35
917,Polyline,654421,287,8977.427834,8977.427834,111448.211,3365657.439,109895.0854,3362435.158,107005.2925,3359336.35
918,Polyline,654475,125,3017.236511,3017.236511,-142990.0554,3370527.127,-143599.4755,3371818.356,-144675.5846,3372718.914
919,Polyline,654476,937,26029.07229,26029.07229,-88570.3453,3370467.474,-76634.22096,3367743.153,-64415.2136,3366402.532
920,Polyline,654477,1466,3640.726801,3640.726801,-64415.2136,3366402.532,-62784.52745,3366782.311,-61201.6861,3366236.479
921,Polyline,654478,11148,1227.370528,1227.370528,-60350.6799,3367120.915,-60776.183,3366678.697,-61201.6861,3366236.479
922,Polyline,654479,809,26514.98886,26514.98886,-34091.226,3364873.525,-22070.96307,3365218.836,-11229.8516,3367486.658
923,Polyline,654480,387,10310.22584,10310.22584,3694.2389,3364014.177,-843.381392,3363758.245,-5338.2178,3364429.416
924,Polyline,654481,261,8596.382256,8596.382256,71472.4603,3359980.28,73219.98609,3363614.006,74761.8669,3367029.67
925,Polyline,654482,1930,5624.437222,5624.437222,147249.5996,3362124.496,148789.9707,3360111.87,149105.3122,3357437.908
926,Polyline,654483,13098,1625.70749,1625.70749,150338.1246,3358323.638,149657.4843,3358034.429,149105.3122,3357437.908
927,Polyline,654625,4860,12146.35847,12146.35847,94918.9304,3358389.718,100336.3185,3359745.591,105116.8243,3362644.978
